Unnamed: 0,tweets,time,language,translated_tweets
893,Besser kann man die aktuelle Lage der  beim CO2-Gesetz nicht erklären: Im Schlepptau der Grün/Roten ...,2021-05-06 15:30:17+00:00,"((0, 105, 'GERMAN', 'de'),)","[{'translation_text': ""You can't explain the current situation of the CO2 Act better: In the tow of the green/red ...""}]"
894,So ziemlich alles !,2021-05-06 09:01:25+00:00,"((0, 19, 'Unknown', 'un'),)",NA
895,Mein Austritt ist nicht schmerzhaft - aber es wird Massenaustritte geben!,2021-05-06 06:02:12+00:00,"((0, 73, 'GERMAN', 'de'),)",[{'translation_text': 'My exit is not painful - but there will be mass exits!'}]
897,Der TCS ist also für höhere Benzinpreise ...  ich habe meine Mitgliedschaft umgehend gekündigt!,2021-05-05 14:31:01+00:00,"((0, 98, 'GERMAN', 'de'),)",[{'translation_text': 'So the TCS is for higher fuel prices ... I immediately cancelled my membership!'}]
898,Das trifft zwar zu - aber bezahlen müssen es trotzdem die Mieter !,2021-05-05 10:52:29+00:00,"((0, 67, 'GERMAN', 'de'),)",[{'translation_text': 'This is true - but the tenants still have to pay it !'}]
899,Armleuchter werden geblockt!,2021-05-05 08:43:50+00:00,"((0, 28, 'GERMAN', 'de'),)",[{'translation_text': 'Armlamps are being blocked!'}]
900,Anonymer Feigling,2021-05-04 18:35:03+00:00,"((0, 17, 'Unknown', 'un'),)",NA
901,"Gott, lass es Hirn regnen ...",2021-05-04 18:22:54+00:00,"((0, 29, 'Unknown', 'un'),)",NA
902,Man lese und begreife!,2021-05-04 18:00:27+00:00,"((0, 22, 'Unknown', 'un'),)",NA
903,... und wer hat den kleinen Sean gefragt?,2021-05-04 14:28:32+00:00,"((0, 41, 'GERMAN', 'de'),)",[{'translation_text': '... and who asked little Sean?'}]
904,Die linken Hühner feiern Euch ...,2021-05-04 10:22:19+00:00,"((0, 34, 'GERMAN', 'de'),)",[{'translation_text': 'The left chickens celebrate you ...'}]
905,"Sam .... die Antifa liebt Dich ... meines Erachtens ein Grund, Dir ernsthaft Sorgen zu machen!",2021-05-04 10:21:09+00:00,"((0, 94, 'GERMAN', 'de'),)",[{'translation_text': 'Sam .... the Antifa loves you ... in my opinion a reason to seriously worry!'}]
906,"Frauchiger, Du bist nicht gefragt!",2021-05-04 09:24:56+00:00,"((0, 34, 'GERMAN', 'de'),)","[{'translation_text': ""Frauchiger, you're not in demand!""}]"
907,Du hattest hier Micky Maus als Profilbild!,2021-05-04 09:19:33+00:00,"((0, 42, 'Unknown', 'un'),)",NA
908,"Ich bin längst für eine Halbierung des Gehaltes! Mache gerne einen Vorstoss - Du musst dank nur schauen, dass Deine linksgrünalternativen Supporter den Vorstoss auch annehmen ...",2021-05-03 07:13:34+00:00,"((0, 181, 'GERMAN', 'de'),)",[{'translation_text': 'I am long ago for a halving of the salary! Like to make a push - you just have to see that your left-greenalternative supporters also accept the push ...'}]
909,"So grosse Töne spucken Sie wohl nur anonym, Sie kleiner, erbärmlicher Feigling!",2021-05-02 19:46:41+00:00,"((0, 81, 'GERMAN', 'de'),)","[{'translation_text': 'So big sounds you only spit anonymously, you little, pathetic coward!'}]"
910,Gestern 1. Mai-Kundgebung in Aarau -   das Grüpplein der sieben Aufrechten  Gehen der  die Leute aus oder sind Gewerkschafter nicht wetterfest? (Screenshot aus Sendung Aktuell von TeleM1),2021-05-02 12:13:26+00:00,"((0, 188, 'GERMAN', 'de'),)",[{'translation_text': 'Yesterday 1st May rally in Aarau - the little group of the seven uprights going out of the people or are trade unionists not weatherproof? (Screenshot from broadcast news by TeleM1)'}]
911,Bei Deinen teils kruden Ansichten könnte ja gut auch ein anderer Grund vorliegen ...,2021-05-01 20:59:36+00:00,"((0, 85, 'GERMAN', 'de'),)",[{'translation_text': 'With your partly crooked views there might well be another reason ...'}]
912,"Woher sollte ich wissen, dass Du Legastheniker bist?",2021-05-01 20:24:22+00:00,"((0, 52, 'GERMAN', 'de'),)",[{'translation_text': 'How was I supposed to know you were a dyslexia?'}]
913,"Ein Ingenieur, welcher nicht mal die elementarsten Grundregeln der Rechtschreibung beherrscht ... wird das im Studium nicht mehr verlangt?",2021-05-01 08:05:45+00:00,"((0, 138, 'GERMAN', 'de'),)","[{'translation_text': ""An engineer who doesn't even master the most basic principles of spelling ... is that no longer required in his studies?""}]"
914,"Seit ich Dich kenne, bist Du als SVP-ler praktisch immer gegen die SVP! Wirst Du eigentlich vom Gegner bezahlt - oder macht es Dir einfach Freude, den Nestbeschmutzer zu spielen und uns dauernd ans Bein zu pinkeln?",2021-04-30 19:39:18+00:00,"((0, 214, 'GERMAN', 'de'),)","[{'translation_text': ""Since I've known you, as an SVP-ler, you are practically always against the SVP! Are you actually paid by the opponent - or do you just enjoy playing the nest-danger and peeing on our legs all the time?""}]"
915,"Hat ja auch Jeder vor der Haustür .... und nein, diese Installationen kosten fast nichts ...",2021-04-30 19:19:00+00:00,"((0, 93, 'GERMAN', 'de'),)","[{'translation_text': 'Has everyone on the doorstep .... and no, these installations cost almost nothing ...'}]"
916,"Oh Gott ... Völker, hört die Signale ...",2021-04-30 18:59:39+00:00,"((0, 42, 'Unknown', 'un'),)",NA
917,Aber sicher !,2021-04-30 18:53:00+00:00,"((0, 13, 'Unknown', 'un'),)",NA
918,"Die Bevölkerung Afrikas wächst alle 12 Tage um eine Million Menschen an! Die 1.5 Millionen Menschen, welche Europa im 2015 mit verheerenden Folgen für das Sozialwesen, die Sicherheit und das Zusammenleben aufgenommen hat, waren also  in 18 Tagen nachgeboren ...",2021-04-30 18:48:52+00:00,"((0, 264, 'GERMAN', 'de'),)","[{'translation_text': 'The population of Africa is growing by one million people every 12 days! So the 1.5 million people, which Europe took up in 2015 with devastating consequences for the social system, security and cohabitation, were born in 18 days after ...'}]"
919,Natürlich verbraucht ein Mensch im Lehmhüttchen in Afrika nicht gleich viel CO2 wie in der Schweiz ... (nur schon wegen der nicht vorhandenen Ölheizung),2021-04-30 18:33:54+00:00,"((0, 155, 'GERMAN', 'de'),)","[{'translation_text': 'Of course, a person in the clay hut in Africa does not consume as much CO2 as in Switzerland ... (only because of the lack of oil heating)'}]"
920,Das ist eine - gelinde gesagt - sehr abenteuerliche Interpretation von Ihnen ...,2021-04-30 18:01:04+00:00,"((0, 80, 'GERMAN', 'de'),)",[{'translation_text': 'This is - to say the least - a very adventurous interpretation of you ...'}]
921,Ich werde das Gesetz voraussichtlich ablehnen,2021-04-30 18:00:05+00:00,"((0, 45, 'GERMAN', 'de'),)","[{'translation_text': ""I'll probably reject the law""}]"
922,Wer hat Couchepin je ernst genommen?,2021-04-30 17:53:33+00:00,"((0, 36, 'GERMAN', 'de'),)","[{'translation_text': ""Who's ever taken Coffepin seriously?""}]"
924,"Also wenn der CO2-Ausstoss der Menschen massgeblich verantwortlich für die Klimaerwärmung sein soll, dann macht eine Zuwanderung von 1 Mio Menschen in 13 Jahren wohl einen erheblichen Anteil aus!",2021-04-30 17:29:26+00:00,"((0, 197, 'GERMAN', 'de'),)","[{'translation_text': 'So if the CO2 emissions of people are to be significantly responsible for global warming, then immigration of 1 million people in 13 years probably represents a significant proportion!'}]"
925,Echte Linke und Hardcore-Sozialisten finden immer einen Zusammenhang mit den von ihnen verhätschelten Asylbetrügern,2021-04-30 12:09:19+00:00,"((0, 117, 'GERMAN', 'de'),)",[{'translation_text': 'Real leftists and hardcore socialists always find a connection with the asylum fraudsters they have played'}]
926,Das haben wir doch in gewissen Städten längst! Nur etwas eleganter verpackt ...,2021-04-30 09:42:35+00:00,"((0, 81, 'GERMAN', 'de'),)","[{'translation_text': ""We've been doing this in certain cities for a long time! Just a little more elegantly packaged ...""}]"
927,Der Mieterverband ist ultralinks - deshalb wird er niemals gegen das CO2- Gesetz antreten - auch wenn es für die Mieter nachweislich höhere Kosten zur Folge hat ...,2021-04-29 21:18:07+00:00,"((0, 166, 'GERMAN', 'de'),)",[{'translation_text': 'The tenant association is ultralinks - therefore it will never fight against the CO2 law - even if it has proven to have higher costs for the tenants ...'}]
928,"Was sind Sie für ein Ignorant - wieso unterstellen Sie mir, nichts vom Mietrecht zu verstehen? Wie kommen Sie darauf? Immerhin mache ich seit bald 30 Jahren Liegenschaftsverwaltungen ...",2021-04-29 19:38:56+00:00,"((0, 187, 'GERMAN', 'de'),)","[{'translation_text': ""What kind of ignorance are you - why do you suggest I don't understand the rental right? How do you think? After all, I've been doing real estate administration for almost 30 years...""}]"
929,Dieser Inhalt ist strafbar!,2021-04-29 15:59:21+00:00,"((0, 27, 'GERMAN', 'de'),)",[{'translation_text': 'This content is punishable!'}]
930,Der Mieterverband,2021-04-29 14:13:20+00:00,"((0, 17, 'Unknown', 'un'),)",NA
931,Bin auch Vermieter - und wie die absolute Mehrheit der Vermieter gehe ich anständig mit meinen Mietern um!,2021-04-29 12:46:50+00:00,"((0, 107, 'GERMAN', 'de'),)",[{'translation_text': 'Am also landlord - and like the absolute majority of landlords I handle decently with my tenants!'}]
932,So ein Blödsinn ...,2021-04-29 12:46:12+00:00,"((0, 20, 'Unknown', 'un'),)",NA
933,"Keineswegs: Wenn bei einer ansonsten intakten und noch längst nicht amortisierten Heizungsanlage der Brenner ausfällt, darf dieser nicht mehr ersetzt werden. Dies bedingt den Ersatz der gesamten Anlage - meist sogar auch der Radiatoren durch Bodenheizungen - das wird sehr teuer!",2021-04-29 10:39:55+00:00,"((0, 281, 'GERMAN', 'de'),)","[{'translation_text': 'Not at all: If the burner fails with an otherwise intact and far from amortized heating system, it must not be replaced any more. This requires the replacement of the entire system - usually even the radiators with floor heating - that will be very expensive!'}]"
935,Denk ich an Deutschland in der Nacht ...,2021-04-29 08:52:05+00:00,"((0, 40, 'GERMAN', 'de'),)",[{'translation_text': 'I think of Germany at night ...'}]
936,"Und ich muss lachen, wenn Sie „widerspricht“ mit „ie“ schreiben ...",2021-04-29 08:24:39+00:00,"((0, 75, 'GERMAN', 'de'),)","[{'translation_text': 'And I have to laugh when you ""reciprocates"" with ""ie"" writing ...'}]"
937,Der Titel ist vom Blick - nicht von mir!,2021-04-29 08:23:43+00:00,"((0, 40, 'GERMAN', 'de'),)",[{'translation_text': 'The title is from the look - not from me!'}]
938,"Der Nachrichtendienst des Bundes verzeichnete in seinem aktuellsten Bericht für das Jahr 2019 insgesamt 207 «linksextreme Ereignisse», dagegen standen 29 «rechtsextreme Ereignisse».",2021-04-29 06:17:12+00:00,"((0, 186, 'GERMAN', 'de'),)","[{'translation_text': 'The Federal Intelligence Service recorded a total of 207 «extreme events» in its most recent report for 2019, while 29 «extreme events» stood against it.'}]"
939,"Der Nachrichtendienst des Bundes verzeichnete in seinem aktuellsten Bericht für das Jahr 2019 insgesamt 207 «linksextreme Ereignisse», dagegen standen 29 «rechtsextreme Ereignisse».",2021-04-29 06:16:46+00:00,"((0, 186, 'GERMAN', 'de'),)","[{'translation_text': 'The Federal Intelligence Service recorded a total of 207 «extreme events» in its most recent report for 2019, while 29 «extreme events» stood against it.'}]"
940,"Linksextreme Gewalt – die Szene radikalisiert sich, die Gefahr wird unterschätzt: Die Schweiz ist auf dem linken Auge blind",2021-04-29 05:36:42+00:00,"((0, 126, 'GERMAN', 'de'),)","[{'translation_text': 'Left extreme violence – the scene is radicalizing, the danger is underestimated: Switzerland is blind on the left eye'}]"
941,"Und tschüss: Anonyme Feiglinge, welche nur Schrott schreiben, werden konsequent geblockt!",2021-04-28 09:26:16+00:00,"((0, 90, 'GERMAN', 'de'),)","[{'translation_text': 'And bye: Anonymous cowards, who only write scrap, are consistently blocked!'}]"
942,Anonymer Feigling!,2021-04-28 06:31:00+00:00,"((0, 18, 'Unknown', 'un'),)",NA
943,Was erzählen Sie hier für einen Schwachsinn?,2021-04-28 06:30:37+00:00,"((0, 46, 'GERMAN', 'de'),)",[{'translation_text': 'What kind of bullshit are you talking about?'}]
944,"Ich wollte mich mit Ihnen geistig duellieren - aber ich sehe gerade, Sie sind gänzlich unbewaffnet",2021-04-26 17:20:37+00:00,"((0, 99, 'GERMAN', 'de'),)","[{'translation_text': ""I wanted to duel with you mentally - but I just see you're completely unarmed""}]"
945,Es waren ja auch nicht Sie gemeint - obwohl .... getroffene Hunde bellen ...,2021-04-26 12:58:58+00:00,"((0, 76, 'GERMAN', 'de'),)","[{'translation_text': ""You weren't meant either - although... dogs were barking...""}]"
946,"Solch ein Blödsinn lässt sich wohl nur anonym posten, sie erbärmlicher Feigling!",2021-04-26 12:33:47+00:00,"((0, 83, 'GERMAN', 'de'),)","[{'translation_text': 'You can only post such nonsense anonymously, you pathetic coward!'}]"
947,Nun plötzlich doch nicht? Wir warnen seit Jahren!,2021-04-25 11:30:47+00:00,"((0, 50, 'GERMAN', 'de'),)","[{'translation_text': ""We've been warning for years.""}]"
948,Wir haben bald 200‘000 Arbeitslose ...,2021-04-25 11:11:06+00:00,"((0, 40, 'GERMAN', 'de'),)","[{'translation_text': ""We soon have 200'000 unemployed ...""}]"
949,Schade - ich hätte mich gerne mit Ihnen geistig duelliert - aber ich sehe gerade: Sie sind gänzlich unbewaffnet ...,2021-04-24 18:54:18+00:00,"((0, 117, 'GERMAN', 'de'),)",[{'translation_text': 'Too bad - I would have liked to duel with you mentally - but I see right now: you are completely unarmed ...'}]
950,In welcher der von Ihnen genannten Zeitungen wurde an welchem Datum mein Vorstoss thematisiert ?,2021-04-24 18:37:57+00:00,"((0, 96, 'GERMAN', 'de'),)",[{'translation_text': 'In which of the newspapers you mentioned was the subject of my proposal on which date ?'}]
951,"Also Sie diskutieren im Ernst hier über meinen Vorstoss, ohne konkret zu wissen, worum es geht?",2021-04-24 16:58:10+00:00,"((0, 96, 'GERMAN', 'de'),)",[{'translation_text': 'So you are seriously discussing my proposal here without knowing exactly what it is about?'}]
952,"Ich habe im Interview klar gesagt, worum es geht ... sind Sie auch des Hörens nicht mächtig?",2021-04-24 15:36:23+00:00,"((0, 94, 'GERMAN', 'de'),)","[{'translation_text': ""In the interview, I made it clear what this is about... aren't you capable of hearing either?""}]"
953,"Nein, es geht nicht um die „Mitte“ - bei der ist längst bekannt, dass sie links stimmt",2021-04-23 15:03:33+00:00,"((0, 91, 'GERMAN', 'de'),)","[{'translation_text': 'No, it\'s not about the ""middle"" - it\'s long known that it\'s right on the left.'}]"
954,"Nein, eben nicht! Die Wählerinnen und Wähler haben einen Anspruch darauf zu erfahren, wie die von ihnen Gewählten tatsächlich abstimmen!",2021-04-23 14:48:14+00:00,"((0, 140, 'GERMAN', 'de'),)","[{'translation_text': 'No, not at all! The voters have a right to know how the electors actually vote!'}]"
955,"Ich könnte den EU-Beitritt fordern - sogar hierzu würden Sie einen Grund finden, warum dies rassistisch, schlecht, ungebildet, nicht gendergerecht oder gerade sonstwie nicht passend ist ...",2021-04-23 11:29:40+00:00,"((0, 191, 'GERMAN', 'de'),)","[{'translation_text': 'I could ask for EU membership - even for this you would find a reason why this is racist, bad, uneducated, not gender-appropriate or just not appropriate ...'}]"
956,"Oh, welch grosses Lob, herzlichen Dank",2021-04-23 11:27:51+00:00,"((0, 38, 'GERMAN', 'de'),)","[{'translation_text': 'Oh, how great praise, thanks a lot'}]"
957,"Sind Sie des Lesens mächtig? Ich verlange lediglich die Bekanntgabe der Resultate, nicht den Inhalt der Diskussionen!",2021-04-23 11:27:13+00:00,"((0, 118, 'GERMAN', 'de'),)","[{'translation_text': 'Are you capable of reading? I only demand the announcement of the results, not the content of the discussions!'}]"
959,"Und was er vor dem Ereignis eingeworfen hat, verschweigen Sie ...",2021-04-22 10:50:45+00:00,"((0, 65, 'GERMAN', 'de'),)","[{'translation_text': ""And what he threw in before the event, you're not telling me...""}]"
960,Lesen Sie den Obduktionsbericht ...,2021-04-22 10:34:32+00:00,"((0, 35, 'Unknown', 'un'),)",NA
961,Idioten werden blockiert,2021-04-22 10:08:05+00:00,"((0, 24, 'Unknown', 'un'),)",NA
962,Wen meinen Sie?,2021-04-22 09:43:05+00:00,"((0, 15, 'Unknown', 'un'),)",NA
963,... und lernen Sie dann bitte noch etwas Rechtschreibung!,2021-04-20 14:12:20+00:00,"((0, 57, 'GERMAN', 'de'),)",[{'translation_text': '... and then please learn some spelling!'}]
964,"Legen Sie zuerst einmal Ihre Identität offen, Sie anonymer Feigling!",2021-04-20 14:11:49+00:00,"((0, 69, 'GERMAN', 'de'),)","[{'translation_text': 'First, reveal your identity, you anonymous coward!'}]"
965,"Wäre ja spannend zu wissen, welche echten SVP-ler sich mit einem dunkelroten Kommunisten wie Sie es sind, tatsächlich abgeben ...",2021-04-19 18:25:14+00:00,"((0, 131, 'GERMAN', 'de'),)",[{'translation_text': 'It would be exciting to know which real SVP-lers are actually dealing with a dark red communist like you are ...'}]
966,Reda El Arbi im Phantasieland ...,2021-04-19 15:40:47+00:00,"((0, 33, 'Unknown', 'un'),)",NA
967,You made my day,2021-04-19 14:14:42+00:00,"((0, 15, 'Unknown', 'un'),)",NA
968,"Solange er mitspielt, passt doch kein Blatt Papier dazwischen ...",2021-04-19 14:14:17+00:00,"((0, 65, 'GERMAN', 'de'),)","[{'translation_text': ""As long as he plays along, there's no piece of paper in between ...""}]"
969,"Ja, bei der Mitte bekommen Sie eine klare Politik und Haltung ... (Ironie off)",2021-04-19 14:03:55+00:00,"((0, 78, 'GERMAN', 'de'),)","[{'translation_text': 'Yes, in the middle you get a clear policy and attitude ... (Ironie off)'}]"
970,Nochmals: Da dürfte das Stockholm-Syndrom mitspielen ...,2021-04-19 14:02:53+00:00,"((0, 57, 'GERMAN', 'de'),)",[{'translation_text': 'Again: The Stockholm syndrome should play a part ...'}]
971,"Und ich hoffe, dass Sie gegen den Blackout (vollkommener Zusammenbruch der Stromversorgung) vorgesorgt haben - dagegen ist nämlich die aktuelle Lage ein Honigschlecken ...",2021-04-19 13:28:19+00:00,"((0, 172, 'GERMAN', 'de'),)","[{'translation_text': ""And I hope you've taken care of the blackout (perfect breakdown of the power supply) - because the current situation is a honey slug ...""}]"
972,Sie schrieben: ... Elektro- und ...,2021-04-19 13:19:54+00:00,"((0, 35, 'Unknown', 'un'),)",NA
973,Trompeten Sie doch nicht so einen Mist raus - denn immerhin liesse sich diese Energie - ganz im Gegenteil zum Flatterstrom - wenigstens bunkern!,2021-04-19 13:07:04+00:00,"((0, 144, 'GERMAN', 'de'),)","[{'translation_text': ""Don't make such a fuss out of it - because at least this energy - quite the contrary to the flutter flow - could be bunkered at least!""}]"
974,Nur der Aktualität zuliebe ...,2021-04-19 12:28:17+00:00,"((0, 31, 'GERMAN', 'de'),)",[{'translation_text': 'Only for the sake of topicality ...'}]
976,In gutem Deutsch würde man „wovor“ schreiben ...,2021-04-19 10:45:49+00:00,"((0, 53, 'GERMAN', 'de'),)","[{'translation_text': 'In good German one would write ""wovor"" ...'}]"
977,"Wir brauchen dringend eine schlagkräftige, glaubwürdige und einsatzfähige Armee - und keine Elektropanzer und CO2-Träumer, Frau Bundesrätin Viola Amherd",2021-04-19 10:41:26+00:00,"((0, 157, 'GERMAN', 'de'),)","[{'translation_text': 'We urgently need a powerful, credible and operational army - and no electric tanks and CO2 dreamers, Mrs. Viola Amherd'}]"
978,Vielleicht das Stockholm-Syndrom?,2021-04-19 10:30:21+00:00,"((0, 33, 'GERMAN', 'de'),)",[{'translation_text': 'Maybe Stockholm Syndrome?'}]
979,Wovon träumen Sie in der Nacht?,2021-04-19 10:24:32+00:00,"((0, 32, 'GERMAN', 'de'),)",[{'translation_text': 'What do you dream of at night?'}]
980,Ich bedaure Reto ...,2021-04-19 09:41:38+00:00,"((0, 20, 'Unknown', 'un'),)",NA
981,"Ach, die dauerfrustrierte JSH meldet sich auch mal wieder ....",2021-04-19 08:53:30+00:00,"((0, 62, 'GERMAN', 'de'),)","[{'translation_text': 'Oh, the persistently frustrated JSH is also reporting again ....'}]"
982,Armleuchter!,2021-04-18 18:06:58+00:00,"((0, 12, 'Unknown', 'un'),)",NA
983,"Schade für Ihre Argumentation, dass wir uns gerade in einer Phase der Untersterblichkeit befinden ...",2021-04-18 15:52:20+00:00,"((0, 102, 'GERMAN', 'de'),)",[{'translation_text': 'Too bad for your argument that we are in a phase of immortality ...'}]
984,Also Missstände aufzeigen ist für Sie „hetzen“?,2021-04-18 15:25:44+00:00,"((0, 53, 'GERMAN', 'de'),)","[{'translation_text': 'So pointing out abuses is for you ""incite""?'}]"
985,"Kleiner, anonymer Feigling!",2021-04-18 15:12:59+00:00,"((0, 27, 'Unknown', 'un'),)",NA
986,Nicht alles umdrehen: Das BAG hat andere Angebote nicht mal geprüft!,2021-04-18 07:20:26+00:00,"((0, 69, 'GERMAN', 'de'),)","[{'translation_text': ""Don't turn everything around: the BAG has not even checked other offers!""}]"
987,"Genau - neue Sprachregelung: Wer Missstände anspricht, wird zum Hetzer ernannt ...",2021-04-18 07:19:31+00:00,"((0, 83, 'GERMAN', 'de'),)",[{'translation_text': 'Precisely - new language regulation: Anyone who addresses maladministration is appointed a heretic ...'}]
988,"Typisch links - wenn ein Bürgerlicher dazu aufrufen würde, ginge ein Riesengeheule los!",2021-04-17 18:05:04+00:00,"((0, 89, 'GERMAN', 'de'),)","[{'translation_text': 'Typically left - if a citizen would call for it, a huge howl would go off!'}]"
989,Klimajugend? Wohl eher Klimakommunisten ...,2021-04-17 18:04:03+00:00,"((0, 43, 'GERMAN', 'de'),)",[{'translation_text': 'Climate youth? Probably more climate communists ...'}]
990,Jeden 1. Mai sieht man genau dies!,2021-04-17 18:03:15+00:00,"((0, 34, 'Unknown', 'un'),)",NA
991,Schon wieder Probleme mit dem Impfstoff: Nun müssen beim  Köpfe rollen!,2021-04-17 18:02:32+00:00,"((0, 73, 'GERMAN', 'de'),)",[{'translation_text': 'Problems with the vaccine again: Now have to roll at the head!'}]
992,"Aber sie gingen, um zu arbeiten - und nicht, um den Amis auf der Tasche zu liegen und / oder kriminell zu werden ...",2021-04-17 10:40:42+00:00,"((0, 116, 'GERMAN', 'de'),)",[{'translation_text': 'But they went to work - and not to lie the Americans on the bag and / or become criminal ...'}]
993,Nennen Sie bitte aktuelle Vorkommnisse ...,2021-04-16 19:24:43+00:00,"((0, 42, 'GERMAN', 'de'),)",[{'translation_text': 'Please state current events ...'}]
994,Wo - in welcher Asylunterkunft musste ein Insasse vor einem Angriff geschützt werden?,2021-04-16 15:28:55+00:00,"((0, 86, 'GERMAN', 'de'),)",[{'translation_text': 'Where - in which asylum accommodation an inmate had to be protected from an attack?'}]
995,Was sind denn Sie für ein anonymer Feigling?,2021-04-16 12:46:57+00:00,"((0, 45, 'GERMAN', 'de'),)",[{'translation_text': 'What kind of anonymous coward are you?'}]
996,"Wieso braucht es für Leute, die bei uns angeblich Schutz suchen, alleine im Aargau fast 12 Millionen, um diese Schutzsuchenden vor sich selbst und die Bevölkerung vor ihnen zu schützen?",2021-04-16 10:43:04+00:00,"((0, 188, 'GERMAN', 'de'),)",[{'translation_text': 'Why does it take almost 12 million for people who claim to be seeking protection in the Aargau alone to protect those seeking protection from themselves and the population from them?'}]
997,Wovon träumen Sie nachts?,2021-04-15 19:13:46+00:00,"((0, 26, 'GERMAN', 'de'),)",[{'translation_text': 'What do you dream of at night?'}]
998,"Was die Schweiz in einem Jahr rauslässt, bläst China in einem Tag in die Luft!",2021-04-15 17:50:51+00:00,"((0, 80, 'GERMAN', 'de'),)",[{'translation_text': 'What Switzerland leaves out in a year is blowing up China in one day!'}]
999,Genau das Gegenteil ist wahr: Mit Flatterstrom aus Photovoltaik und Windrädli ist uns nicht geholfen!,2021-04-15 15:38:28+00:00,"((0, 102, 'GERMAN', 'de'),)","[{'translation_text': 'The exact opposite is true: with flutter power from photovoltaics and wind turbines, we are not helped!'}]"
1000,Wir können die Erderwärmung nicht beeinflussen!,2021-04-15 11:28:50+00:00,"((0, 49, 'GERMAN', 'de'),)","[{'translation_text': ""We can't influence global warming!""}]"
1001,"Wer glaubt, die Erderwärmung mittels CO2-Steuer aufhalten zu können, glaubt auch, die Erdumdrehung aufhalten zu können ...",2021-04-15 11:24:29+00:00,"((0, 125, 'GERMAN', 'de'),)","[{'translation_text': ""Those who believe that they can stop global warming by means of CO2 taxes also believe that they can stop the Earth's rotation ...""}]"
1003,Anonymer Feigling !,2021-04-15 11:03:14+00:00,"((0, 19, 'Unknown', 'un'),)",NA
1004,Schaue gerade Bewerbungen an - wann hat eigentlich dieses unsägliche Geschwurbel Einzug in die Zeugnisse gehalten? Klartext fehlt!,2021-04-14 13:46:23+00:00,"((0, 131, 'GERMAN', 'de'),)",[{'translation_text': 'Just look at applications - when did this unspeakable jury actually enter the testimonies? Clear text is missing!'}]
1005,Zufälle gibts ....,2021-04-14 12:13:50+00:00,"((0, 19, 'Unknown', 'un'),)",NA
1006,Dann wäre ja der Blick unanständig - denn so explizit und in dieser Form hat er den Christen noch nie zu Weihnachten gratuliert 🤷‍,2021-04-14 08:17:30+00:00,"((0, 137, 'GERMAN', 'de'),)",[{'translation_text': 'Then the look would be indecent - because so explicit and in this form he has never congratulated the Christians at Christmas'}]
1007,"Lieber  - ist diese Anbiederung wirklich nötig? Und glaubt Ihr wirklich, so Abonnenten zu gewinnen?",2021-04-13 18:08:51+00:00,"((0, 100, 'GERMAN', 'de'),)",[{'translation_text': 'Dear - is this bidding really necessary? And do you really believe in winning subscribers like this?'}]
1008,"Wenn Sie so weitermachen, wird die Quittung bei den nächsten Wahlen folgen ... dann aber bitte nicht klagen ... wir haben gewarnt!",2021-04-13 08:18:05+00:00,"((0, 131, 'GERMAN', 'de'),)","[{'translation_text': ""If you continue like this, the receipt will follow in the next elections ... but please don't complain ... we have warned!""}]"
1009,Leute wie Sie sind für den Untergang der einst stolzen und staatstragenden FDP verantwortlich! Die SVP hat keine Freude am Niedergang der FDP - wir wünschen uns eine starke Mitbewerberin um die besten Ideen!,2021-04-13 05:35:47+00:00,"((0, 209, 'GERMAN', 'de'),)",[{'translation_text': 'People like you are responsible for the downfall of the once proud and state-supporting FDP! The SVP has no pleasure in the downfall of the FDP - we wish a strong competitor for the best ideas!'}]
1010,"Ja, liebe  - es tut weh, wenn wir dies mit Euren beiden nach links abweichenden Bundesräten so direkt ansprechen ... Nun müsst Ihr aber nicht wie unerzogene Kinder im Sandkasten mit Sand schmeissen, sondern Eure beiden Bundesräte für morgen briefen!",2021-04-13 04:07:26+00:00,"((0, 253, 'GERMAN', 'de'),)","[{'translation_text': 'Yes, dear - it hurts if we address this so directly with your two Federal Councillors who differ to the left ... Now you do not have to throw sand like uneducated children in the sandbox, but write your two Federal Councillors for tomorrow!'}]"
1011,"Kleiner, anonymer Feigling!",2021-04-12 13:25:29+00:00,"((0, 27, 'Unknown', 'un'),)",NA
1012,Bei Ihnen müsste wohl eher ‚von vorgestern‘ stehen,2021-04-12 13:24:27+00:00,"((0, 55, 'GERMAN', 'de'),)","[{'translation_text': 'With you it would probably have to be ""from the day before yesterday""'}]"
1013,"Es gibt Grundwerte, die eine bürgerliche, geschweige eine sich liberal nennende Partei nie verraten darf, liebe FDP!",2021-04-11 18:45:35+00:00,"((0, 117, 'GERMAN', 'de'),)","[{'translation_text': 'There are fundamental values that a bourgeois party, let alone a liberal party, must never betray, dear FDP!'}]"
1014,Schluchz,2021-04-09 17:50:35+00:00,"((0, 8, 'Unknown', 'un'),)",NA
1015,Also dies ist für Sie bereits rassistisch?,2021-04-09 16:43:00+00:00,"((0, 43, 'GERMAN', 'de'),)",[{'translation_text': 'So this is already racist for you?'}]
1016,"Gott, lass es Hirn regnen ....",2021-04-09 16:27:51+00:00,"((0, 30, 'Unknown', 'un'),)",NA
1017,Sind Sie des Lesens nicht mächtig? Ich wurde keineswegs verurteilt!,2021-04-09 16:25:07+00:00,"((0, 68, 'GERMAN', 'de'),)",[{'translation_text': 'Are you not capable of reading? I was not condemned by any means!'}]
